Family,Genus,species,sub.species,binomial,other.genera,other.species,other.names.sub.species,Source.of.taxonomy information,notes.on.taxonomy,Sexual.System,Karyotype,notes..Karyotype,Predicted.ploidy,female2N,male2N,notesMale2N,notes..comments,cite.key,,,,,,
Crambidae,Ostrinia,scapulalis,,Ostrinia scapulalis,,,,GBIF,Accepted,gonochorous,ZW,,,62,62,,,traut2008sex,,,,,,
Crambidae,Pygospila,tyres,,Pygospila tyres,,,,GBIF,Accepted,,,,,,56,,,"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331.",,,,,,
Drepanidae,Thyatira,batis,,Thyatira batis,,,,GBIF,Accepted,,,,,,62,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Abraxas,grossulariata,dohrnii,Abraxas grossulariata dohrnii,,,,GBIF,Accepted,gonochorous,,,,,56,,,"Doncaster, D., 1910. Note on the spermatogenesis of Abraxas grossulariata (currant moth). Proceed. of the Cambridge Phil. Soc., 15, pp.44-45.",,,,,,
Erebidae,Apantesis,phalerata,,Apantesis phalerata,,,,GBIF,Accepted,,,,,,58,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Apantesis,vittata,,Apantesis vittata,Apantesis,radians,,Lepindex,Synonym,,,,,,60,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Arctia,caja,phaesoma,Arctia caja phaesoma,,,,GBIF,Accepted,,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Erebidae,Arctia,caja,,Arctia caja,,,,GBIF,Accepted,,,,,,62,,,"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45.",,,,,,
Erebidae,Arctia,festiva,,Arctia festiva,Arctia,hebe,,GBIF,Synonym,,,,,,,60-64,,"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45.",,,,,,
Erebidae,Asota,caricae,,Asota caricae,Hypsa,alciphron,,Lepindex,Synonym,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Erebidae,Calliteara,pudibunda,,Calliteara pudibunda,Dasychira,pudibunda,,GBIF,Synonym,,,,,,174,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Dasychira,pseudabietis,,Dasychira pseudabietis,,,,GBIF,Accepted,gonochorous,,,,,104,,,Saitoh 1959a,,,,,,
Erebidae,Diaphora,mendica,,Diaphora mendica,Cycnial,mendica,,GBIF,Synonym,gonochorous,,,,,62,,,"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45.",,,,,,
Erebidae,Diaphora,mendica,,Diaphora mendica,Cycnial,mendica,,GBIF,Synonym,gonochorous,,,,,52,,,"Federley, H., 1932. Die bedeutung der kreuzung für die evolution. Jenische Zeitschrift für Naturwissenschaft, 67, pp.364-386.",,,,,,
Erebidae,Diaphora,mendica,,Diaphora mendica,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Dicallomera,kusnezovi,,Dicallomera kusnezovi,,,,,,,,,,,40,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Earias,insulana,,Earias insulana,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561.",,,,,,
Erebidae,Earias,insulara,,Earias insulara,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Earias,vittella,,Earias vittella,Earias,fabia,,GBIF,Synonym,gonochorous,,,,,62,,,"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561.",,,,,,
Erebidae,Euproctis,chrysorrhoea,,Euproctis chrysorrhoea,,,,GBIF,Accepted,,,,,,62,,,"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331.",,,,,,
Erebidae,Euproctis,chrysorrhoea,,Euproctis chrysorrhoea,,,,GBIF,Accepted,,,,,,28,,,"Ortiz, E. and Templado, J., 1975. Los cromosomas de cuatro especies de limántridos (Lep. Lymantriidae).",,,,,,
Erebidae,Euproctis,flava,,Euproctis flava,,,,GBIF,Accepted,gonochorous,,,,,44,,,Saitoh 1959c,,,,,,
Erebidae,Euproctis,kogistana,,Euproctis kogistana,,,,,,,,,,,44,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Euproctis,pseudoconspersa,,Euproctis pseudoconspersa,,,,GBIF,Accepted,gonochorous,,,,,44,,,Saitoh 1959c,,,,,,
Erebidae,Euproctis,similis,,Euproctis similis,,,,GBIF,Accepted,gonochorous,,,,,46,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Euproctis,similis,,Euproctis similis,,,,GBIF,Accepted,gonochorous,,,,,44,,,Saitoh 1959c,,,,,,
Erebidae,Euproctis,similis,,Euproctis similis,Porthesia,similis,,GBIF,Synonym,,,,,,46,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Euproctis,virguncula,,Euproctis virguncula,,,,GBIF,Accepted,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Erebidae,Gynaephora,pumila,,Gynaephora pumila,,,,,,,,,,,36,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Gynaephora,selenitica ,,Gynaephora selenitica ,Dasychira,selenitica,,Lepindex,Synonym,gonochorous,,,,,44,,,Federley 1945b,,,,,,
Erebidae,Hippocrita,jacobaea,,Hippocrita jacobaea,,,,,,,,,,,62,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Erebidae,Hyphantria,cunea,,Hyphantria cunea,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Leucoma,salicis,,Leucoma salicis,,,,GBIF,Accepted,gonochorous,,,,,60,,,Saitoh 1959c,,,,,,
Erebidae,Leucoma,salicis,,Leucoma salicis,,,,GBIF,Accepted,,,,,,60,,,"Ortiz, E. and Templado, J., 1975. Los cromosomas de cuatro especies de limántridos (Lep. Lymantriidae).",,,,,,
Erebidae,Lilhosia,quadra,,Lilhosia quadra,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Lophocampa,maculata,,Lophocampa maculata,,,,GBIF,Accepted,gonochorous,ZO,,,33,34,,,traut2008sex,,,,,,
Erebidae,Lophocampa,maculata,,Lophocampa maculata,Halisidota,maculata,,GBIF,Synonym,,,,,,34,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Lymantria,dispar,japonica,Lymantria dispar japonica,,,,GBIF,Accepted,gonochorous,,,,,62,,,Seiler 1914,,,,,,
Erebidae,Lymantria,dispar,,Lymantria dispar,,,,GBIF,Accepted,gonochorous,ZW,,,62,62,,,traut2008sex,,,,,,
Erebidae,Lymantria,dispar,,Lymantria dispar,,,,GBIF,Accepted,gonochorous,,,,,62,,,Seiler 1914,,,,,,
Erebidae,Lymantria,dispar,,Lymantria dispar,,,,GBIF,Accepted,,,,,,62,,,"Ortiz, E. and Templado, J., 1975. Los cromosomas de cuatro especies de limántridos (Lep. Lymantriidae).",,,,,,
Erebidae,Lymantria,fumida,,Lymantria fumida,,,,GBIF,Accepted,gonochorous,,,,,60,,,Saitoh 1959c,,,,,,
Erebidae,Lymantria,mathura,aurora,Lymantria mathura aurora,,,,GBIF,Accepted,gonochorous,,,,,62,,,Saitoh 1959c,,,,,,
Erebidae,Lymantria,umida,,Lymantria umida,,,,,,,,,,,60,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Lymantrla,monacha,,Lymantrla monacha,,,,GBIF,Accepted,gonochorous,,,,,62,,,Seiler 1914,,,,,,
Erebidae,Miltochrista,miniata,,Miltochrista miniata,,,,GBIF,Accepted,,,,,,62,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Ocnogyna,baetica,,Ocnogyna baetica,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Olene,fascelina,caucasica,Olene fascelina caucasica,,,,,,,,,,,62,,,"Lukhtanov, V.A. and Kuznetsova, V.G., 1989. Karyotype structure in higher Lepidoptera,(Papilionomorpha). Entomological review, 68(5), pp.12-31.",,,,,,
Erebidae,Olene,olga,,Olene olga,,,,,,,,,,,42,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Orgyia,antiqua,,Orgyia antiqua,,,,GBIF,Accepted,gonochorous,ZW,,,28,28,,,traut2008sex,,,,,,
Erebidae,Orgyia,antiqua,,Orgyia antiqua,,,,GBIF,Accepted,gonochorous,,,,,28,,,Seiler 1914,,,,,,
Erebidae,Orgyia,antiquoides,,Orgyia antiquoides,Orgyia,ericae,,GBIF,Synonym,gonochorous,,,,,60,,,Cretschmar 1928,,,,,,
Erebidae,Orgyia,leucostigma,,Orgyia leucostigma,,,,GBIF,Accepted,gonochorous,,,,,56,,,Cretschmar 1928,,,,,,
Erebidae,Orgyia,recens,,Orgyia recens,,,,GBIF,Accepted,gonochorous,,,,,60,,,Cretschmar 1928,,,,,,
Erebidae,Orgyia,thyellina,,Orgyia thyellina,,,,GBIF,Accepted,gonochorous,complex ZW,ZZ/ZW1W2,,23,22,,,traut2008sex,,,,,,
Erebidae,Orgyia,thyellina,,Orgyia thyellina,,,,GBIF,Accepted,gonochorous,ZW,,,22,22,,,traut2008sex,,,,,,
Erebidae,orgyia,trigotephras,,orgyia trigotephras,,,,GBIF,Accepted,,,,,,58,,,"Ortiz, E. and Templado, J., 1975. Los cromosomas de cuatro especies de limántridos (Lep. Lymantriidae).",,,,,,
Erebidae,Pericallia,ricini,,Pericallia ricini,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561.",,,,,,
Erebidae,Phragmatobia,fuliginosa,amurensis,Phragmatobia fuliginosa amurensis,,,,GBIF,Accepted,,,,,,58,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Erebidae,Phragmatobia,fuliginosa,,Phragmatobia fuliginosa,,,,GBIF,Accepted,gonochorous,complex ZW,ZZ/ZW1W2,,57,56,,,"Seiler, J., 1914. Das Verhalten der Geschlechtschromosomen bei Lepidopteren. Arch. f. Zellf., 13 (2): 159-269.",,,,,,
Erebidae,Spilarctis,imparilis,,Spilarctis imparilis,,,,,,,,,,,62,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Erebidae,Spilaritia,infernalis,,Spilaritia infernalis,,,,,,gonochorous,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Erebidae,Spilosoma,imparilis,,Spilosoma imparilis,Spilarctia,imparilis,,Lepindex,Synonym,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Spilosoma,infernalis,,Spilosoma infernalis,Spilarctia,infernalis,,Lepindex,Synonym,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Spilosoma,lubricipeda,,Spilosoma lubricipeda,,,,GBIF,Accepted,,,,,,62,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Spilosoma,lubricipeda,,Spilosoma lubricipeda,Spilosoma,menthastri,,GBIF,Synonym,,,,,,60,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Erebidae,Spilosoma,lubricipedum,,Spilosoma lubricipedum,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Spilosoma,mendica,,Spilosoma mendica,,,,GBIF,Accepted,,,,,,52,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Spilosoma,mendicum,,Spilosoma mendicum,,,,GBIF,Accepted,,,,,,62,,,"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45.",,,,,,
Erebidae,Spilosoma,obliqua,,Spilosoma obliqua,,,,GBIF,Accepted,,,,,,62,,,"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.",,,,,,
Erebidae,Spilosoma,punctaria,,Spilosoma punctaria,,,,GBIF,Accepted,,,,,,68,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Stigmatophora,flava,,Stigmatophora flava,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Tyria,jacobaeae,,Tyria jacobaeae,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Erebidae,Tyria,jacobaeae,,Tyria jacobaeae,Hipocrita,jacobaea,,Lepindex,Synonym,,,,,,62,,,"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45.",,,,,,
Erebidae,Utetheisa,ornatrix,bella,Utetheisa ornatrix bella,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Pease Jr, R.W., Thomas, V.I., Rico, P., from Lake, N.C. and Bahama, B.W.I., 1963. Chromosome numbers in geographic populations of the Utetheisa ornatrix (Arctiidae) complex and certain hybrids. J. Lepid. Soc, 17, pp.231-233.",,,,,,
Erebidae,Utetheisa,ornatrix,stretchii,Utetheisa ornatrix stretchii,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Pease Jr, R.W., Thomas, V.I., Rico, P., from Lake, N.C. and Bahama, B.W.I., 1963. Chromosome numbers in geographic populations of the Utetheisa ornatrix (Arctiidae) complex and certain hybrids. J. Lepid. Soc, 17, pp.231-233.",,,,,,
Erebidae,Utetheisa,ornatrix,,Utetheisa ornatrix,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Pease Jr, R.W., Thomas, V.I., Rico, P., from Lake, N.C. and Bahama, B.W.I., 1963. Chromosome numbers in geographic populations of the Utetheisa ornatrix (Arctiidae) complex and certain hybrids. J. Lepid. Soc, 17, pp.231-233.",,,,,,
Erebidae,Utetheisa,pulchella,,Utetheisa pulchella,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561.",,,,,,
Eupterotidae,Apha,aequalis,,Apha aequalis,Apha,tychoona,,Lepindex,Synonym,,,,,,44,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Gelechiidae,Anacampsis,innocuella,,Anacampsis innocuella,,,,GBIF,Accepted,,,,,,58,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Gelechiidae,Anacampsis,populella,,Anacampsis populella,Tachyptilia,populella,,GBIF,Synonym,,,,,,58,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Gelechiidae,Anacampsis,timidella,,Anacampsis timidella,Anacampsis,disquei,,Lepindex,Synonym,,,,,,58,,,"Lukhtanov, V.A. and Kuznetsova, V.G., 1989. Karyotype structure in higher Lepidoptera,(Papilionomorpha). Entomological review, 68(5), pp.12-31.",,,,,,
Gelechiidae,Coleotechnites,resinosaa,,Coleotechnites resinosaa,Eucordylea,resinosae,,Lepindex,Synonym,,,,,,60,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Gelechiidae,Exoteleia,dodecella,,Exoteleia dodecella,,,,GBIF,Accepted,gonochorous,ZO,,,23,24,,,traut2008sex,,,,,,
Gelechiidae,Exoteleia,pinifoliella,,Exoteleia pinifoliella,,,,GBIF,Accepted,gonochorous,ZO,,,21,22,,,traut2008sex,,,,,,
Gelechiidae,Exotelsia,dodscella,,Exotelsia dodscella,,,,,,,,,,,24,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Gelechiidae,Exotelsia,nepheos,,Exotelsia nepheos,,,,GBIF,Accepted,,,,,,24,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Gelechiidae,Exotelsia,pinifoliella,,Exotelsia pinifoliella,,,,GBIF,Accepted,,,,,,22,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Gelechiidae,Phthorimaea,operculella,,Phthorimaea operculella,,,,GBIF,Accepted,gonochorous,ZW,,,58,58,,,traut2008sex,,,,,,
Gelechiidae,Sititroga,cerealella,,Sititroga cerealella,,,,GBIF,Accepted,,,,,,60,,,"Lukhtanov, V.A. and Kuznetsova, V.G., 1989. Karyotype structure in higher Lepidoptera,(Papilionomorpha). Entomological review, 68(5), pp.12-31.",,,,,,
Geometridae,Abraxas,grossulariata,,Abraxas grossulariata,,,,GBIF,Accepted,,,,,,56,,,"Doncaster, D., 1910. Note on the spermatogenesis of Abraxas grossulariata (currant moth). Proceed. of the Cambridge Phil. Soc., 15, pp.44-45.",,,,,,
Geometridae,Abraxas,sylvata,,Abraxas sylvata,Calospilos,sylvata,fulvobasalis,GBIF,Synonym,,,,,,58,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Geometridae,Abraxas,sylvata,,Abraxas sylvata,Calospiloa,sylvata,fulvobasalis,GBIF,Synonym,,,,,,58,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Geometridae,Aethalura,punctulata,,Aethalura punctulata,Boarmia,punctularia,,Lepindex,Synonym,,,,,,64,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Geometridae,Agathia,carissima,,Agathia carissima,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Geometridae,Agathia,carssima,,Agathia carssima,,,,GBIF,Accepted,,,,,,62,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Geometridae,Alcis,porcelaria,,Alcis porcelaria,Protoboarmia,porcelaria,indicataria,GBIF,Synonym,,,,,,62,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Geometridae,Aperia,syringaria,,Aperia syringaria,,,,GBIF,Accepted,gonochorous,,,,,58,,,"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83).",,,,,,
Geometridae,Ascotis,selenaria,cretacea,Ascotis selenaria cretacea,,,,GBIF,Accepted,,,,,,68,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Geometridae,Ascotos,selenaria,cretacea,Ascotos selenaria cretacea,,,,GBIF,Accepted,,,,,,68,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Geometridae,Campaea,margatitata,,Campaea margatitata,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83).",,,,,,
Geometridae,Camptogramma,bilineata,,Camptogramma bilineata,,,,GBIF,Accepted,gonochorous,,,,,60,,,"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184.",,,,,,
Geometridae,Caripeta,angustiorata,,Caripeta angustiorata,,,,GBIF,Accepted,,,,,,58,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Geometridae,Caripeta,divisata,,Caripeta divisata,,,,GBIF,Accepted,,,,,,58,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Geometridae,Chlorochysta,miata,,Chlorochysta miata,,,,GBIF,Accepted,gonochorous,,,,,60,,,"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184.",,,,,,
Geometridae,Coenotephria,sagittata,,Coenotephria sagittata,,,,GBIF,Accepted,gonochorous,,,,,24,,,"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184.",,,,,,
